datetime_kst	latitude	longitude	spd
2024-07-16 11:25:00	36.485553	127.2956607	29.088
2024-07-16 11:25:01	36.4856108	127.2957068	28.008
2024-07-16 11:25:02	36.4856719	127.2957559	30.024
2024-07-16 11:25:03	36.4857335	127.2958118	30.24
2024-07-16 11:25:04	36.4857868	127.2958741	30.384
2024-07-16 11:25:05	36.4858354	127.2959439	29.88
2024-07-16 11:25:06	36.4858885	127.2960065	29.232
2024-07-16 11:25:07	36.4859527	127.2960487	29.232
2024-07-16 11:25:08	36.4860271	127.2960689	31.392
2024-07-16 11:25:09	36.4861027	127.2960962	31.752
2024-07-16 11:25:10	36.4861755	127.2961336	31.32
2024-07-16 11:25:11	36.4862451	127.2961747	31.464
2024-07-16 11:25:12	36.4863161	127.2962203	33.48
2024-07-16 11:25:13	36.4863929	127.296269	36.072
2024-07-16 11:25:14	36.486476	127.2963204	38.736
2024-07-16 11:25:15	36.4865658	127.2963754	41.472
2024-07-16 11:25:16	36.4866613	127.2964311	43.92
2024-07-16 11:25:17	36.4867585	127.2964882	43.488
2024-07-16 11:25:18	36.4868565	127.2965437	41.904
2024-07-16 11:25:19	36.4869509	127.2965975	40.824
2024-07-16 11:25:20	36.4870446	127.2966512	41.544
2024-07-16 11:25:21	36.4871391	127.2967048	43.632
2024-07-16 11:25:22	36.4872399	127.2967623	43.56
2024-07-16 11:25:23	36.4873374	127.2968169	43.128
2024-07-16 11:25:24	36.4874365	127.2968726	43.632
2024-07-16 11:25:25	36.4875346	127.2969267	42.768
2024-07-16 11:25:26	36.4876315	127.296981	40.68
2024-07-16 11:25:27	36.4877213	127.2970314	38.448
2024-07-16 11:25:28	36.4878047	127.2970785	33.768
2024-07-16 11:25:29	36.4878777	127.2971197	30.528
2024-07-16 11:25:30	36.4879472	127.2971589	29.304
2024-07-16 11:25:31	36.4880102	127.2971953	27.504
2024-07-16 11:25:32	36.4880696	127.297229	23.832
2024-07-16 11:25:33	36.4881216	127.2972592	21.456
2024-07-16 11:25:34	36.4881656	127.2972876	18.576
2024-07-16 11:25:35	36.4882043	127.2973171	18.792
2024-07-16 11:25:36	36.4882442	127.297356	22.752
2024-07-16 11:25:37	36.4882863	127.2974095	25.776
2024-07-16 11:25:38	36.4883347	127.2974569	25.128
2024-07-16 11:25:39	36.4883961	127.297489	26.496
2024-07-16 11:25:40	36.4884669	127.2975038	29.592
2024-07-16 11:25:41	36.488546	127.2975202	32.904
2024-07-16 11:25:42	36.4886225	127.2975507	32.616
2024-07-16 11:25:43	36.4886915	127.297585	30.888
2024-07-16 11:25:44	36.4887593	127.2976229	32.112
2024-07-16 11:25:45	36.4888348	127.297665	33.048
2024-07-16 11:25:46	36.4889112	127.297708	35.28
2024-07-16 11:25:47	36.4889958	127.2977557	37.728
2024-07-16 11:25:48	36.489079	127.2978025	40.32
2024-07-16 11:25:49	36.4891752	127.2978568	42.696
2024-07-16 11:25:50	36.4892729	127.2979113	44.928
2024-07-16 11:25:51	36.4893728	127.2979677	44.712
2024-07-16 11:25:52	36.4894812	127.2980289	45.576
2024-07-16 11:25:53	36.4895851	127.2980898	46.656
2024-07-16 11:25:54	36.4896886	127.2981506	47.88
2024-07-16 11:25:55	36.4897963	127.2982172	48.96
2024-07-16 11:25:56	36.4899067	127.2982868	49.176
2024-07-16 11:25:57	36.4900152	127.2983564	47.808
2024-07-16 11:25:58	36.4901184	127.2984253	45.864
2024-07-16 11:25:59	36.4902165	127.2984933	43.704
2024-07-16 11:26:00	36.4903078	127.2985588	39.096
2024-07-16 11:26:01	36.4903841	127.2986148	35.208
2024-07-16 11:26:02	36.4904617	127.2986733	33.696
2024-07-16 11:26:03	36.4905297	127.2987248	32.616
2024-07-16 11:26:04	36.4905983	127.2987792	32.328
2024-07-16 11:26:05	36.4906667	127.2988344	32.616
2024-07-16 11:26:06	36.490735	127.2988896	32.688
2024-07-16 11:26:07	36.4908022	127.2989448	32.112
2024-07-16 11:26:08	36.4908687	127.2989985	31.392
2024-07-16 11:26:09	36.4909343	127.2990523	30.672
